name,url,max_price,min_price
アイリスオーヤマ ふとん乾燥機,https://jp.mercari.com/search?keyword=FK-WH1&sort=created_time&order=desc,11000,0
ことばずかんPremium,https://jp.mercari.com/search?keyword=%E3%81%93%E3%81%A8%E3%81%B0%E3%81%9A%E3%81%8B%E3%82%93Premium&sort=created_time&order=desc,4500,0
イヤホン WF-1000XM5,https://jp.mercari.com/search?keyword=WF-1000XM5&sort=created_time&order=desc,22000,5000
TOSHIBA CD ラジオ,https://jp.mercari.com/search?keyword=TY-ANX1&sort=created_time&order=desc,12000,0
スタンドアロンマイク HMIS1X-XX-BK/G ( 4P5P8AA ),https://jp.mercari.com/search?keyword=HMIS1X-XX-BK&sort=created_time&order=desc,6000,0
VPNルーター RTX830,https://jp.mercari.com/search?keyword=RTX830&status=on_sale%2Csold_out%7Ctrading&sort=created_time&order=desc,20000,0
象印マホービン CP-CA12-BA,https://jp.mercari.com/search?keyword=CP-CA12-BA&sort=created_time&order=desc,10000,0
タイガー電気ポットPIM-G300K,https://jp.mercari.com/search?keyword=PIM-G300K&sort=created_time&order=desc,14000,0
スター精密 MCP31LB BK JP,https://jp.mercari.com/search?keyword=MCP31LB%20BK&sort=created_time&order=desc,30000,0
電気圧力鍋,PC-MA4-W	https://jp.mercari.com/search?keyword=PC-MA4-W&sort=created_time&order=desc,10000,0
Bose QuietComfort Ultra Headphones,https://jp.mercari.com/search?keyword=Bose%20QuietComfort%20Ultra%20Headphones&order=desc&page_token=v1%3A1&sort=created_time,32000,0
Fitbit Inspire2 フィットネストラッカー,https://jp.mercari.com/search?keyword=Fitbit%20Inspire2&category_id=3690&sort=created_time&order=desc,9000,0
ソニー PLLシンセサイザーラジオ SRF-R356,https://jp.mercari.com/search?keyword=SRF-R356&sort=created_time&order=desc,15000,0
Google Pixel Buds Pro Fog,https://jp.mercari.com/search?keyword=Google%20Pixel%20Buds%20Pro%20Fog&sort=created_time&order=desc,9500,0
ソニー(SONY) ワイヤレスネックバンドスピーカー,https://jp.mercari.com/search?keyword=HT-AN7&sort=created_time&order=desc,23000,0
